File,Average Accuracy,Expected Output,Actual Output,Accuracy Rate
code_18.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_13.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['18', '677837296', '', '1134000', '', '902795214', '854810385', '571691590', '520476760', '6720', '3', '382680067', '', '249346606', '347424110', '37800', '6', '835772688', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_4.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['5', '500', '500', '10', '500', '460', '490', '500', '500', '8', '3', '485', '9', '500', '500', '10', '4', '463', '458']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_17.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_0.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_16.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['2', '199', '189', '5', '192', '166', '183', '178', '1', '2', '1', '463', '3', '1', '1', '5', '2', '157', '170']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_1.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_12.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['12', '80311225', '369377738', '144', '108530190', '537705038', '761219647', '598204587', '308059322', '96', '4', '195705178', '144', '308059322', '308059322', '144', '6', '246555510', '253556791']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_5.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['2', '0', '0', '0', '0', '0', '0', '15', '123753', '0', '0', '0', '0', '30876', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_15.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_2.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_11.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['28', '124656278', '332932780', '992', '347120438', '610115274', '756558340', '963026258', '616118642', '252', '6', '727465434', '504', '616118642', '616118642', '992', '12', '403271543', '346760801']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_6.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_10.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_7.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_14.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
code_3.py,0.0,"['14', '880152508', '81226592', '20160', '215937203', '903206600', '701393342', '570621847', '393865022', '2880', '2', '231493706', '6942', '628667424', '658246696', '37542', '7', '515504327', '119622629']","['0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0', '0']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
